RUN	DATE	JOE	BILL	JACK	JOHN
1	15.03.2016	10550	10705	10975	10828
2	16.03.2016	10557	10701	11000	10832
3	17.03.2016	10538	10703	11027	10737
4	18.03.2016	10538	10688	11070	10733
5	19.03.2016	10553	10701	11038	10804
6	20.03.2016	10540	10688	11126	10706
7	21.03.2016	10546	10687	11050	10830
8	22.03.2016	10534	10698	11045	10767
9	23.03.2016	10530	10678	10954	10674
10	24.03.2016	10530	10685	10944	10648
11	25.03.2016	10529	10690	11112	10721
12	26.03.2016	10534	10683	10952	10806
13	27.03.2016	10522	10672	10988	10668
14	28.03.2016	10532	10674	11016	10807
15	29.03.2016	10524	10682	11064	10841
16	30.03.2016	10519	10668	11007	10774
17	31.03.2016	10527	10667	11006	10734
18	1.04.2016	10529	10678	11009	10762
19	2.04.2016	10512	10657	10945	10774
20	3.04.2016	10523	10665	11019	10644
21	4.04.2016	10520	10654	11021	10672
22	5.04.2016	10507	10656	11047	10665
23	6.04.2016	10510	10650	10963	10609
24	7.04.2016	10504	10666	10934	10627
25	8.04.2016	10514	10665	10983	10627
26	9.04.2016	10507	10652	11107	10750
27	10.04.2016	10512	10653	10999	10821
28	11.04.2016	10514	10656	10980	10657
29	12.04.2016	10505	10644	11072	10834
30	13.04.2016	10504	10653	11040	10827
31	14.04.2016	10511	10642	11009	10677
32	15.04.2016	10491	10648	10961	10697
33	16.04.2016	10495	10639	10989	10774
34	17.04.2016	10502	10642	11034	10661
35	18.04.2016	10492	10634	11092	10833
36	19.04.2016	10504	10645	11006	10750
37	20.04.2016	10505	10627	10996	10690
38	21.04.2016	10495	10631	11022	10782
39	22.04.2016	10488	10626	11062	10672
40	23.04.2016	10493	10624	11043	10672
41	24.04.2016	10495	10625	11059	10749
42	25.04.2016	10488	10623	11029	10774
43	26.04.2016	10493	10617	10928	10626
44	27.04.2016	10486	10625	11081	10690
45	28.04.2016	10484	10624	10967	10658
46	29.04.2016	10490	10617	11057	10763
47	30.04.2016	10484	10616	11056	10815
48	1.05.2016	10482	10610	10946	10639
49	2.05.2016	10482	10615	10880	10680
50	3.05.2016	10466	10608	10977	10594
51	4.05.2016	10479	10610	10912	10678
52	5.05.2016	10464	10617	11060	10626
53	6.05.2016	10476	10603	10992	10661
54	7.05.2016	10475	10599	10933	10707
55	8.05.2016	10456	10599	10869	10648
56	9.05.2016	10471	10605	10950	10650
57	10.05.2016	10458	10596	10917	10726
58	11.05.2016	10462	10588	10872	10624
59	12.05.2016	10460	10585	11007	10632
60	13.05.2016	10462	10580	11052	10750
61	14.05.2016	10454	10580	11034	10675
62	15.05.2016	10459	10586	11006	10632
63	16.05.2016	10446	10579	10959	10755
64	17.05.2016	10471	10592	10903	10683
65	18.05.2016	10477	10610	10970	10753
66	19.05.2016	10459	10600	11069	10680
67	20.05.2016	10472	10599	10972	10631
68	21.05.2016	10469	10614	10997	10769
69	22.05.2016	10480	10600	11075	10657
70	23.05.2016	10476	10615	10933	10654
71	24.05.2016	10451	10564	11023	10754
72	25.05.2016	10446	10576	10988	10617
73	26.05.2016	10445	10569	10976	10687
74	27.05.2016	10437	10577	10934	10628
75	28.05.2016	10423	10570	10927	10548
