DATE	VALUE
2008-12-01	5.8955
2008-12-02	5.8525
2008-12-03	5.8795
2008-12-04	5.8001
2008-12-05	5.8895
2008-12-08	5.7549
2008-12-09	5.7548
2008-12-10	5.7171
2008-12-11	5.6001
2008-12-12	5.5799
2008-12-15	5.4525
2008-12-16	5.3955
2008-12-17	5.1890
2008-12-18	5.2094
2008-12-19	5.3717
2008-12-22	5.3423
2008-12-23	5.3353
2008-12-24	5.3364
2008-12-25	0.0
2008-12-26	5.2975
2008-12-29	5.2335
2008-12-30	5.2895
2008-12-31	5.3497
2009-01-01	0.0
2009-01-02	5.3400
2009-01-05	5.4845
2009-01-06	5.5426
2009-01-07	5.4311
2009-01-08	5.4343
2009-01-09	5.5240
2009-01-12	5.5826
2009-01-13	5.6461
2009-01-14	5.6551
2009-01-15	5.6891
2009-01-16	5.6275
2009-01-19	0.0
2009-01-20	5.7545
2009-01-21	5.7905
2009-01-22	5.7527
2009-01-23	5.8007
2009-01-26	5.6651
2009-01-27	5.6645
2009-01-28	5.6238
2009-01-29	5.7369
2009-01-30	5.8216
2009-02-02	5.8197
2009-02-03	5.7267
2009-02-04	5.7951
2009-02-05	5.8028
2009-02-06	5.7860
2009-02-09	5.7045
2009-02-10	5.7461
2009-02-11	5.7790
2009-02-12	5.8115
2009-02-13	5.7859
2009-02-16	0.0
2009-02-17	5.9277
2009-02-18	5.9371
2009-02-19	5.8760
2009-02-20	5.8731
2009-02-23	5.8450
2009-02-24	5.8455
2009-02-25	5.8504
2009-02-26	5.8349
2009-02-27	5.8832
2009-03-02	5.9229
2009-03-03	5.9369
2009-03-04	5.9082
2009-03-05	5.9305
2009-03-06	5.8787
2009-03-09	5.8943
2009-03-10	5.8419
2009-03-11	5.8310
2009-03-12	5.8219
2009-03-13	5.7834
2009-03-16	5.7353
2009-03-17	5.7457
2009-03-18	5.6834
2009-03-19	5.4273
2009-03-20	5.4918
2009-03-23	5.4902
2009-03-24	5.5075
2009-03-25	5.5002
2009-03-26	5.4925
2009-03-27	5.5971
2009-03-30	5.6659
2009-03-31	5.6153
2009-04-01	5.6322
2009-04-02	5.5342
2009-04-03	5.5386
2009-04-06	5.5704
2009-04-07	5.6090
2009-04-08	5.6065
2009-04-09	5.6650
2009-04-10	5.6679
2009-04-13	5.5783
2009-04-14	5.6096
2009-04-15	5.6508
2009-04-16	5.6424
2009-04-17	5.7164
2009-04-20	5.7730
2009-04-21	5.7386
2009-04-22	5.7245
2009-04-23	5.7087
2009-04-24	5.6106
2009-04-27	5.6706
2009-04-28	5.7021
2009-04-29	5.5891
2009-04-30	5.6223
2009-05-01	5.6139
2009-05-04	5.5714
2009-05-05	5.5680
2009-05-06	5.5943
2009-05-07	5.5529
2009-05-08	5.5199
2009-05-11	5.4687
2009-05-12	5.4618
2009-05-13	5.4705
2009-05-14	5.4725
2009-05-15	5.4993
